Dep,Dest,Evenodd,Restriction,Route
OITT,OR,ODD,,RUDAD R661 ZAJ W9 IVELI W154 KMS A647 RAGET
OITT,OR,EVEN,,RABEM A422 UMH Z740 BOXIX
OITT,UB,EVEN,,RABDI R661 DULAV
OITT,UB,EVEN,,DASDA A422 PARSU
OITT,UD,EVEN,,PAPOK G482 MAGRI
OIYY,OIII,EVEN,,BONOL W32 ROVAD L125 RADAL
OIYY,OIII,EVEN,,BONOL W32 ROVAD G208 RADAL
OIYY,OIIP,EVEN,,TOVTA R654 SAV
OIYY,OITT,EVEN,,TOVTA R654 BUDED R660 RAKED
OIZB,OIII,EVEN,,ELOKA W137 DAR L125 RADAL
OIZB,OIII,EVEN,,ELOKA W137 DAR G208 RADAL
OIZC,OIII,EVEN,,EGPER R654 KER L124 YZD W32 ROVAD L125 RADAL
OIZC,OIII,EVEN,,EGPER R654 KER L124 YZD W32 ROVAD G208 RADAL
OIZH,OIII,EVEN,,DAPAP L125 RADAL
OIZH,OIII,EVEN,,DAPAP G208 RADAL
OIZI,OIZB,ODD,,LOXOL W2 ZDN G775 LUDAX Q16 KAPUR
OIZI,OIZB,ODD,,LOXOL W2 ZDN G775 ELOKA
