Dep,Dest,Evenodd,Restriction,Route
OICC,OIBP,ODD,,BUBAV W158 KRD M701 BOTAS G665 EGSIR L223 LAM G666 LVA B547 ALNOL
OICI,OIBK,ODD,,ALTET G202 IMRAG P574 SYZ G666 LVA B547 ALNOL
OICI,OIII,ODD,,ALTET Z730 IVELI B411 SAV
OICI,OIMM,ODD,,ALTET G202 ORSOK G663 RAMIL
OICI,OISS,ODD,,ALTET G202 IMRAG P574 ASNIT
OICK,OIBK,ODD,,NOTSA G202 IMRAG P574 SYZ G666 LVA B547 ALNOL
OICK,OIII,ODD,,NOTSA W7 ARK G667 SAV
OICK,OISS,ODD,,NOTSA G202 IMRAG P574 ASNIT
OICS,OIII,ODD,,LOVID M434 SAV
OIFK,OIBK,ODD,,PEKAM P574 SYZ G666 LVA B547 ALNOL
OIFK,OIII,EVEN,,VAVIN R659 BOXAM
OIFK,OIMM,ODD,,VAVIN T211 OXADU B411 RIBUX
OIFK,OISS,ODD,,PEKAM P574 ASNIT
OIFM,OIAA,EVEN,,GADLU W6 IMKEN N72 MAH W31 BOPIS
OIFM,OIAA,EVEN,,GADLU W6 IMKEN B417 MAH W31 BOPIS
OIFM,OIBK,ODD,,GESIP R659 SYZ G666 LVA B547 ALNOL
OIFM,OIBS,ODD,,GESIP R659 SYZ G666 LVA B547 KIS
OIFM,OIGG,EVEN,,DAPOG R659 VAVIN T211 RUS W161 RARTA
OIFM,OIII,EVEN,,DAPOG R659 BOXAM
OIFM,OIII,EVEN,,BOMID G202 RASLA G667 SAV
OIFM,OINZ,EVEN,,DAPOG R659 TRN G667 NSH A416 MODEK
OIFM,OITT,EVEN,,DAPOG R659 VAVIN T211 RUS Z725 VEBER L125 BUDED R660 RAKED
OIFM,OITT,EVEN,,DAPOG R659 VAVIN T211 RUS Z725 VEBER L125 BUDED L333 RAKED
OIFM,OIMM,ODD,,LABOT G202 ORSOK G663 RAMIL
OIFM,OIZH,ODD,,LABOT G202 MITET M715 SILKO G452 DANUS
OIFM,LT,EVEN,,BOMID G202 UKSIS L223 KAPES M555 ALRAM
OIFM,LT,EVEN,,BOMID G202 UKSIS L223 UMH L852 TESVA
OIFM,OA,ODD,,LABOT G202 KAMAR
OIFM,OB,EVEN,,GESIP W144 OBTUX P574 SYZ G663 ALSER
OIFM,OT,EVEN,,GESIP W144 OBTUX P574 SYZ R659 MIDSI
OIFM,OK,EVEN,,GADLU W6 IMKEN N72 TULAX
OIFM,OK,EVEN,,GADLU W6 IMKEN B417 TULAX
OIFM,OM,ODD,,GESIP W144 OBTUX P574 SYZ G666 ORSAR
OIFM,OP,ODD,,LADAL R654 YZD R654 KER G452 DERBO
OIFM,OP,ODD,,LADAL R654 YZD L124 KER G452 DERBO
OIFM,OP,ODD,,LADAL R654 YZD L124 KEBUD
OIFM,OR,EVEN,,BOMID G202 RAGET
OIFM,UB,EVEN,,DAPOG R659 VAVIN T211 RUS Z725 PAXID N72 BATEV
OIFM,UD,EVEN,,DAPOG R659 VAVIN T211 RUS Z725 RST B121 MAGRI
OIFM,UT,ODD,,LABOT G202 ORSOK G663 TBS M318 RIKOP
OIFS,OIII,EVEN,,ISN R659 BOXAM
OIFS,OIMM,ODD,,ISN G202 ORSOK G663 RAMI
OIGG,OIAW,EVEN,,DEDLA Z725 PAXID N72 IMKEN W6 ITIBI
OIGG,OIFM,ODD,,DEDLA Z725 PAXID N72 SAV P574 PEKAM
OIGG,OIII,ODD,,DEDLA Z725 PAXID
OIGG,OIKB,ODD,,DEDLA Z725 OXADU M715 PURKI W32 ASMUK
OIGG,OIKQ,ODD,,DEDLA Z725 OXADU M715 PURKI W32 BND
OIGG,OISS,ODD,,DEDLA Z725 PAXID N72 SAV P574 ASNIT
OIGG,OIMM,ODD,,RSR A416 DNZ Z710 ODKOL A416 RIBUX
OIGG,OIBK,ODD,,DEDLA Z725 PAXID N72 SAV P574 SYZ G666 LVA B547 ALNOL
OIHH,OIII,ODD,,ORLOG M434 SAV
OIHH,OIMM,ODD,,ORLOG M434 SAV B411 RIBUX
OIHH,OIBK,ODD,,ORLOG M434 SAV P574 SYZ G666 LVA B547 ALNOL
OIHR,OIMM,ODD,,DEKBA J6 SAV B411 RIBUX
OIHR,OIBP,ODD,,DEKBA W7 EGVEL P574 SYZ G666 LAM
OIHR,OISS,ODD,,DEKBA W7 EGVEL P574 ASNIT
OIII,OIAA,EVEN,,EGVEL B417 MAH W31 BOPIS
OIII,OIAD,EVEN,,EGVEL W7 DAPEM
OIII,OIAM,EVEN,,EGVEL B417 IMKEN W6 AWZ W30 GODMO
OIII,OIAW,EVEN,,EGVEL B417 IMKEN W6 ITIBI
OIII,OIBK,ODD,,ELUSI W13 PEKAM P574 SYZ G666 LVA B547 ALNOL
OIII,OIBS,ODD,,ELUSI W13 PEKAM P574 SYZ G666 LVA B547 KIS
OIII,OICC,EVEN,,PAVET A647 ASRIL
OIII,OICK,EVEN,,EGVEL W7 NOTSA
OIII,OICI,EVEN,,PAVET A647 HAM Z730 ALTET
OIII,OICS,EVEN,,PAVET A647 HAM M434 LOVID
